id,baseline_prediction,mismatches,challenger_preds
18981,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18971,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18966,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
18943,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19390,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19376,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19372,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19365,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19342,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19311,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19307,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19299,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19291,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19289,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19287,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19273,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19272,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19240,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19207,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19173,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19563,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19559,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19530,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19519,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19513,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19503,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19483,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19482,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19473,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19429,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19417,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19413,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19405,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19398,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19760,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19751,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19732,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19731,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19725,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19711,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19691,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19668,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19663,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19662,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19659,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19645,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19584,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19569,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19567,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19910,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19878,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19875,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19857,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19856,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19838,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19828,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19826,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19790,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19786,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19782,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19780,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19779,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19768,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20049,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20036,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20019,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20016,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20004,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20001,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19994,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19988,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19986,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19956,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19946,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19939,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19936,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
19928,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20147,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20145,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20143,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20141,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20139,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20128,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20127,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20119,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20117,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20107,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20098,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20092,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20085,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20084,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20083,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20059,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20470,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20469,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20465,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20464,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20431,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20426,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20421,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20378,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20348,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20339,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20325,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20288,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20232,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20224,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20190,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20576,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20573,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20560,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20546,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20542,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20541,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20526,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20524,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20517,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20511,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20508,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20507,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20485,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20477,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20475,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20472,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20813,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20769,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20722,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20710,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20707,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20705,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20701,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20695,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20690,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20664,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20650,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20602,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20599,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20595,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20587,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20579,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20962,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20941,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20928,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20925,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20922,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20916,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20905,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20881,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20872,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20842,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20837,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20831,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20826,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21139,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21119,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21103,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21097,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21088,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21068,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21066,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21062,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21060,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21035,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21030,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20998,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20995,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20985,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20971,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
20970,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21311,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21299,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21291,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21281,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21278,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21250,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21249,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21234,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21217,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21216,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21211,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21202,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21181,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21173,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21156,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21150,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21458,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21450,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21429,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21424,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21417,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21412,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21378,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21371,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21366,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21359,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21346,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21337,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21319,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
21317,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24254,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24252,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24235,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24218,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24210,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24197,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24185,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24172,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24160,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24157,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24141,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
24132,Extrovert,6,"['Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert', 'Introvert']"
